,adf_p_target_level,adf_p_predictor_level,coint_p_value,is_cointegrated,adf_p_target_diff,adf_p_predictor_diff,mutual_info,optimal_lag_aic,granger_p_value_optimal_lag,pearson_lag_0,spearman_lag_0,pearson_lag_1,spearman_lag_1,score,rank
BAMLEM4BRRBLCRPIOAS,0.0,0.3979623780740963,,False,3.1528540308330485e-20,5.4909942977370296e-30,0.0,10,1.3565527821814176e-05,0.0725226833306284,0.1146838049553547,0.0567787092537783,0.063031709496348,-0.2312847773825304,70
BAMLEMNFNFLCRPIUSEY,0.0,0.6569181753140981,,False,3.1528540308330485e-20,1.065419442491602e-09,0.0,10,0.0005155308788101,0.1061530841638681,0.0763840001675673,0.1201986393075745,0.1312243592133914,-0.2319525039183805,71
BAMLEM5BCOCRPISYTW,0.0,0.742301705837443,,False,3.1528540308330485e-20,6.573448734372937e-10,0.0242850545914117,10,0.0007733608333129,0.087305476511526,0.0463679762745577,0.1367812788394015,0.155858787373967,-0.2320849881364344,72
BAMLEMPVPRIVSLCRPIUSEY,0.0,0.6819616259504778,,False,3.1528540308330485e-20,5.186358478302152e-09,0.0,10,0.0004449993891591,0.1102553063883718,0.0672732851692986,0.1222977835541356,0.1298483409958668,-0.23242514059989658,73
BAMLEM4BRRBLCRPIEY,0.0,0.5756971375924526,,False,3.1528540308330485e-20,2.0515572270576786e-29,0.0,10,0.0003652412587875,0.0762524316300201,0.1000631979249142,0.0786617388122725,0.1048527199672389,-0.23251453354802157,74
BAMLEMALLCRPIASIAUSSYTW,0.0,0.6244723164504354,,False,3.1528540308330485e-20,1.4146906016364016e-07,0.0,10,0.0194313439735936,0.1572352399587151,0.0937872783724817,0.0304412730586056,0.0368308007151348,-0.23267028575631774,75
BAMLEMHGHGLCRPIUSSYTW,0.0,0.7700720096290206,,False,3.1528540308330485e-20,2.53181547213632e-09,0.0376658750666272,10,0.0186525240273806,0.1069432283420304,0.0620578978152266,0.0677915018681306,0.0720128282808098,-0.2330277219819011,76
BAMLEM3BRRBBCRPISYTW,0.0,0.682778388648359,,False,3.1528540308330485e-20,6.959928618442334e-12,0.0515894896879642,10,5.706257235858972e-05,0.0418850395668438,0.0240084062042575,0.1922500303313596,0.2115489023874907,-0.2331155825142405,77
BAMLEMRECRPIEMEAOAS,0.0,0.1120083206222075,,False,3.1528540308330485e-20,3.3560303366709204e-15,0.0,10,0.0008043645694553,0.0445591653713525,0.127311464666185,0.0440118757422201,0.0684040195567441,-0.23313468282402836,78
BAMLEMFSFCRPISYTW,0.0,0.6815404685647372,,False,3.1528540308330485e-20,1.4984150792466472e-06,0.0,10,0.0106566777898876,0.125153469674753,0.0857245044786481,0.0515127899375658,0.0435373602505759,-0.2331748737006149,79
BAMLEMCLLCRPIUSTRIV,0.0,0.63365747469302,,False,3.1528540308330485e-20,2.637253764631469e-07,0.008732837837432,10,5.703538232444061e-05,-0.1029185874103887,-0.0466429379402778,-0.1344344322198652,-0.1349991950843334,-0.23332009405037674,80
BAMLEMHBHYCRPIOAS,0.0,0.2665857511162588,,False,3.1528540308330485e-20,2.631011864691776e-12,0.0111824140003702,10,2.3677094570253978e-07,0.062378246197986,0.0819279520677865,0.1231340491485156,0.1332687885368338,-0.233332992081727,81
BAMLEMPBPUBSICRPIOAS,0.0,0.0022914006882529,,False,,,0.0621574314313799,9,0.0165737751448131,0.0444956413219249,0.0635869481283152,0.0495428637835553,0.0677739719706169,-0.2333897648266252,82
DTWEXEMEGS,0.0,0.49686253713243,,False,4.406497512349184e-28,0.0,0.0357020512009733,10,0.0001988532112904,-0.02479862189154,-0.0672067222180891,0.1896604710837142,0.1724070892979711,-0.23373859663335858,83
BAMLEMIBHGCRPIOAS,0.0,0.0191800252946582,,False,,,0.0618242933570827,10,0.0157446737508023,0.0514615335277632,0.048989849687636,0.0480824533975477,0.0430747641326931,-0.23388787250736445,84
BAMLEMFSFCRPIEY,0.0,0.6819074382361274,,False,3.1528540308330485e-20,8.192045850785196e-07,0.0,10,0.0090155941657522,0.1168467072158255,0.078986786316743,0.0527512045587177,0.0473734827312651,-0.23402288831304402,85
BAMLEM2RBBBLCRPIUSEY,0.0,0.7408131458216858,,False,3.1528540308330485e-20,4.30092383934787e-09,0.0,10,0.0072549803061185,0.1134302388917314,0.0752285956970361,0.0807087861450951,0.0974262454823458,-0.23403610866357066,86
DTP5A25,0.0,0.764630883496479,,False,1.8124026913624184e-27,8.843087406416677e-10,0.054358780453382,10,3.3328536234749553e-07,-0.018983165206828,-0.031081934423125,0.0220214009066619,0.0596785954349223,-0.23412186726047324,87
BAMLEMPUPUBSLCRPIUSOAS,0.0,1.503315751367556e-06,,False,,,0.0518479358662302,10,0.0091668775896379,0.0355041917291197,0.0555669136443316,0.0402939609714144,0.054947821569014,-0.23419005332526402,88
BAMLEMXOCOLCRPIUSEY,0.0,0.7387834259244181,,False,3.1528540308330485e-20,3.103154089618612e-09,0.0,10,0.0003225612523291,0.0920561234964252,0.0662374972546861,0.1372886605784626,0.1591657630239139,-0.23429966242582054,89
BAMLEMHBHYCRPISYTW,0.0,0.5886461572219894,,False,3.1528540308330485e-20,1.558426096276514e-10,0.0179997414428174,10,5.24418969065462e-05,0.0736105260080243,0.0475243843554787,0.1554919180022249,0.1822270888668411,-0.23430753743384883,90
BAMLEMRECRPIEMEATRIV,0.0,0.5282953127868265,,False,3.1528540308330485e-20,0.0001271956331692,0.0202724279456769,10,4.527692075747266e-05,-0.0484557719790894,-0.0673565356080778,-0.1156520473498572,-0.1325921983394954,-0.23438239442045092,91
BAMLEMCBPITRIV,0.0,0.6751874933898989,,False,3.1528540308330485e-20,7.358200162568509e-07,0.0131445299622767,10,0.0001617274057045,-0.0938219143553839,-0.0365215160574376,-0.1334760567867502,-0.1323292022301772,-0.2344014419285443,92
BAMLEMALLCRPIASIAUSEY,0.0,0.6154978251490152,,False,3.1528540308330485e-20,7.930506798006369e-07,0.0,10,0.0230770043332309,0.1565661269152722,0.0900467976762431,0.0376085155593618,0.0417002230233928,-0.23456950927414086,93
BAMLEMCLLCRPIUSSYTW,0.0,0.7233477542496127,,False,3.1528540308330485e-20,1.4222492751132613e-08,0.0,10,0.0013477198691919,0.1034743351799356,0.0561616234128286,0.1142609986056153,0.1272223101089844,-0.23457549208840034,94
BAMLEMCLLCRPIUSEY,0.0,0.7157524407359604,,False,3.1528540308330485e-20,1.3326787305461289e-08,0.0014199006136315,10,0.0022253364202051,0.1024435549923102,0.0553685730607377,0.1198122282057657,0.1316620839421155,-0.2348249416400509,95
